HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
AB674B,2022-07-03,08:00:08,AAL1924,11950,303,4247,AAL
4D0102,2022-07-03,08:00:14,ICV62N,15450,415,,ICV
86E7A2,2022-07-03,08:00:22,JAL6713,2125,207,2263,JAL
A3E29B,2022-07-03,08:00:22,NA,6250,227,3455,NA
AB0ED6,2022-07-03,08:01:27,UAL2371,7425,288,2345,UAL
AA7A83,2022-07-03,08:01:45,SWA1636,18575,379,573,SWA
A1EF65,2022-07-03,08:02:26,N2236W,2000,66,,Private
AA3226,2022-07-03,08:02:55,AAL579,15925,405,1151,AAL
AB473A,2022-07-03,08:04:55,AAL809,16075,340,2370,AAL
ACD47E,2022-07-03,08:05:03,ASA263,33025,497,4063,ASA
AC2BD9,2022-07-03,08:05:31,ASH6073,36000,429,,ASH
A3E911,2022-07-03,08:06:29,FFT2133,2300,186,2232,FFT
A19F29,2022-07-03,08:06:58,SWA2340,15575,390,516,SWA
AC245C,2022-07-03,08:07:16,SWA1622,7325,268,,SWA
A94B0B,2022-07-03,08:07:59,NA,35000,485,,NA
AC767C,2022-07-03,08:08:09,AAL1017,16100,386,3241,AAL
A32175,2022-07-03,08:10:13,BTQ928,1975,185,5243,BTQ
ABF78F,2022-07-03,08:10:17,AAL1066,14850,364,4266,AAL
AC2038,2022-07-03,08:10:38,SWA2859,15325,373,3406,SWA
AB68F9,2022-07-03,08:11:01,UAL1182,2250,189,563,UAL
AC250B,2022-07-03,08:12:05,SWA275,5925,278,3410,SWA
AACAAE,2022-07-03,08:12:24,ABX3150,37000,452,703,ABX
ACA3A3,2022-07-03,08:13:21,AAL229Q,2425,181,2217,AAL
AB0D76,2022-07-03,08:13:25,DAL761,35000,449,2671,DAL
AD6C3B,2022-07-03,08:13:45,NA,9300,274,,NA
A0F1BB,2022-07-03,08:14:09,AAL1750,11875,268,6162,AAL
ADDDD5,2022-07-03,08:14:47,AAL1343,2400,175,2207,AAL
A56B6D,2022-07-03,08:15:04,N4485S,4900,100,,Private
